seconds,bw
1664920587831.197, 49045.12181074796
1664920588841.9426, 10001.428472472926
1664920589916.5408, 10259.237655580988
1664920590928.773, 6485.083185420841
1664920591946.6099, 5640.204369110881
1664920592958.9683, 3100.444829283675
1664920593958.9734, 2326.243915846857
1664920596715.5144, 2289.607710155274
1664920597741.4937, 2763.583856462859
1664920598828.234, 2355.7469759661385
1664920599837.7344, 4785.865156687672
1664920600869.3882, 30842.605314856555
1664920601886.886, 27737.714842893747
1664920602905.286, 31973.29467409097
1664920603934.5886, 34102.61374057764
1664920604964.963, 30003.653783469625
1664920605986.0786, 31368.121245019887
1664920607004.465, 30837.214619429138
1664920608023.8901, 34491.607364045136
1664920609028.7131, 35118.7031098789
1664920610041.9727, 28724.73273722253
1664920611058.9363, 22484.487056802347
1664920612121.719, 7990.627737877219
1664920613144.7268, 8643.41899215673
1664920614159.205, 7316.531020153409
1664920615161.3914, 4500.666520278938
1664920616182.812, 30760.11356693621
1664920617212.3232, 30798.51586444831
1664920618223.1096, 35816.27788639224
1664920619233.264, 32211.964276991515
1664920620235.8616, 29542.7123378912
1664920621243.904, 34303.19434436563
1664920622261.4004, 29724.69717201905
1664920623268.939, 29357.964774684246
1664920624280.6882, 34566.518245196785
1664920625289.191, 31468.98654236784
1664920626290.4211, 19882.23027174463
1664920627408.3284, 9151.199770610125
1664920628410.2585, 5289.326511875234
1664920629429.3245, 4624.6785218657515
1664920630430.7183, 3361.997481637865
1664920631451.4663, 4160.5366834568795
1664920632463.949, 3397.3301108444607
1664920633486.304, 3879.035008169061
1664920634489.4236, 15654.419353265375
1664920635497.2466, 34135.083171888946
1664920636499.0828, 33240.941811951336
1664920637520.1558, 31836.68714301662
1664920638526.6243, 32124.24591248884
1664920639543.0408, 32931.141626402816
1664920640564.6396, 33191.04624281731
1664920641613.5337, 10068.721001994823
1664920642639.0806, 7659.055275848324
1664920643647.7336, 6340.576353136991
1664920644662.6492, 4534.584516040564
1664920645684.7249, 22858.046942868372
1664920646716.274, 28524.453799851857
1664920647719.5532, 32394.506329868862
1664920648722.8796, 40198.23418726877
1664920649723.601, 28292.09032950633
