second,frame_no,seconds,channelrate,sourcerate,redundantPkts,redundancyrate
4455, 0, 1664192696, 200000, 6976.853, 1, 0
4455, 1, 1664192696, 42925.09933959532, 6976.853, 1, 0
4456, 2, 1664192696, 42925.09933959532, 6976.853, 1, 17.1875
4456, 3, 1664192697, 42925.09933959532, 6976.853, 1, 17.1875
4456, 4, 1664192697, 46940.03044380745, 6976.853, 1, 17.1875
4457, 5, 1664192697, 46940.03044380745, 6976.853, 1, 25.78125
4457, 6, 1664192698, 46940.03044380745, 6976.853, 1, 25.78125
4457, 7, 1664192698, 39742.76910005816, 6976.853, 1, 25.78125
4459, 8, 1664192699, 39742.76910005816, 6976.853, 1, 25.78125
4459, 9, 1664192699, 39742.76910005816, 6976.853, 1, 25.78125
4459, 10, 1664192699, 35958.14808557382, 6976.853, 1, 25.78125
450, 11, 1664192700, 35958.14808557382, 6976.853, 1, 25.78125
450, 12, 1664192700, 35958.14808557382, 6976.853, 1, 25.78125
450, 13, 1664192700, 25615.499617854515, 6976.853, 1, 25.78125
451, 14, 1664192701, 25615.499617854515, 6976.853, 1, 25.78125
451, 15, 1664192701, 25615.499617854515, 6976.853, 1, 25.78125
451, 16, 1664192702, 54630.03188086892, 6976.853, 1, 25.78125
452, 17, 1664192702, 54630.03188086892, 6976.853, 1, 25.78125
452, 18, 1664192702, 54630.03188086892, 6976.853, 1, 25.78125
452, 19, 1664192703, 46169.10408870591, 6976.853, 1, 25.78125
453, 20, 1664192703, 46169.10408870591, 6976.853, 1, 25.78125
453, 21, 1664192703, 46169.10408870591, 6976.853, 1, 25.78125
453, 22, 1664192704, 46862.10569586395, 6976.853, 1, 25.78125
454, 23, 1664192704, 46862.10569586395, 6976.853, 1, 25.78125
454, 24, 1664192705, 46862.10569586395, 6976.853, 1, 25.78125
454, 25, 1664192705, 33201.65792901917, 6976.853, 1, 25.78125
455, 26, 1664192705, 33201.65792901917, 6976.853, 1, 25.78125
455, 27, 1664192706, 33201.65792901917, 6976.853, 1, 25.78125
455, 28, 1664192706, 46271.185675763445, 6976.853, 1, 25.78125
456, 29, 1664192706, 46271.185675763445, 6976.853, 1, 25.78125
456, 30, 1664192707, 46271.185675763445, 6976.853, 1, 25.78125
456, 31, 1664192707, 49380.173821031574, 6976.853, 1, 25.78125
458, 32, 1664192708, 49380.173821031574, 6976.853, 1, 25.78125
458, 33, 1664192708, 49380.173821031574, 6976.853, 1, 25.78125
458, 34, 1664192708, 37039.25138197046, 6976.853, 1, 25.78125
