frame_no,delay,timebase,pts,ts
0,55.40132522583008,1/90000,0,1664925302208.7407
1,15.510797500610352,1/90000,3000,1664925302240.6445
2,17.032146453857422,1/90000,6000,1664925302279.0632
3,15.43879508972168,1/90000,9000,1664925302339.418
4,14.989852905273438,1/90000,12000,1664925302408.711
5,12.990236282348633,1/90000,15000,1664925302453.3232
6,18.352746963500977,1/90000,18000,1664925302519.8232
7,15.241861343383789,1/90000,21000,1664925302569.3682
8,16.153335571289062,1/90000,24000,1664925302622.033
9,12.974023818969727,1/90000,27000,1664925302678.8958
10,13.417482376098633,1/90000,30000,1664925302746.985
11,12.99142837524414,1/90000,33000,1664925302802.2866
12,17.09604263305664,1/90000,36000,1664925302864.7405
13,13.26608657836914,1/90000,39000,1664925302911.5176
14,13.391494750976562,1/90000,42000,1664925302964.1504
15,13.140678405761719,1/90000,45000,1664925303036.6255
16,14.470577239990234,1/90000,48000,1664925303086.5164
17,15.555858612060547,1/90000,51000,1664925303128.8425
18,12.943744659423828,1/90000,54000,1664925303180.2844
19,13.473033905029297,1/90000,57000,1664925303229.8171
20,15.310287475585938,1/90000,60000,1664925303287.3503
21,17.732858657836914,1/90000,63000,1664925303325.6428
22,13.808727264404297,1/90000,66000,1664925303355.3516
23,14.836788177490234,1/90000,69000,1664925303397.119
24,12.960433959960938,1/90000,72000,1664925303439.3242
25,17.592191696166992,1/90000,75000,1664925303496.1492
26,16.321420669555664,1/90000,78000,1664925303558.794
27,14.080524444580078,1/90000,81000,1664925303619.9092
28,13.527154922485352,1/90000,84000,1664925303672.929
29,14.826059341430664,1/90000,87000,1664925303733.3389
30,16.791105270385742,1/90000,90000,1664925303800.0454
31,13.597249984741211,1/90000,93000,1664925303853.3005
32,15.66457748413086,1/90000,96000,1664925303921.2742
33,13.077497482299805,1/90000,99000,1664925303972.9033
34,8.858680725097656,1/90000,102000,1664925304040.6746
35,10.29658317565918,1/90000,105000,1664925304099.8657
36,13.123750686645508,1/90000,108000,1664925304159.1135
37,9.83881950378418,1/90000,111000,1664925304208.4553
38,11.23356819152832,1/90000,114000,1664925304272.3591
39,9.677648544311523,1/90000,117000,1664925304311.4114
40,10.555744171142578,1/90000,120000,1664925304369.8357
41,10.292768478393555,1/90000,123000,1664925304428.974
42,15.699625015258789,1/90000,126000,1664925304492.2944
43,15.958070755004883,1/90000,129000,1664925304546.8113
44,14.782428741455078,1/90000,132000,1664925304599.5718
45,15.053749084472656,1/90000,135000,1664925304653.3662
46,15.892744064331055,1/90000,138000,1664925304726.2827
47,17.217397689819336,1/90000,141000,1664925304788.1816
48,13.516664505004883,1/90000,144000,1664925304847.9646
49,15.752077102661133,1/90000,147000,1664925304897.6592
50,14.901161193847656,1/90000,150000,1664925304943.1296
51,13.704299926757812,1/90000,153000,1664925305005.0715
52,15.38991928100586,1/90000,156000,1664925305056.4592
53,13.43846321105957,1/90000,159000,1664925305109.2776
54,18.10145378112793,1/90000,162000,1664925305171.2786
55,14.475345611572266,1/90000,165000,1664925305223.278
56,14.22119140625,1/90000,168000,1664925305280.335
57,14.888286590576172,1/90000,171000,1664925305329.3137
58,16.959667205810547,1/90000,174000,1664925305390.9175
59,13.593912124633789,1/90000,177000,1664925305444.9387
60,14.81771469116211,1/90000,180000,1664925305502.553
61,14.15872573852539,1/90000,183000,1664925305569.3037
62,18.910646438598633,1/90000,186000,1664925305631.6318
63,15.607833862304688,1/90000,189000,1664925305694.7114
64,14.277458190917969,1/90000,192000,1664925305749.6694
65,16.793012619018555,1/90000,195000,1664925305938.101
66,14.175176620483398,1/90000,198000,1664925305954.467
67,16.23368263244629,1/90000,201000,1664925305982.454
68,14.545440673828125,1/90000,204000,1664925305998.2786
