seconds,bw
1664920587,2958.7656
1664920588,8655.9062
1664920589,4887.4297
1664920590,6547.4609
1664920591,3276.7188
1664920592,1880.5938
1664920593,1470.4375
1664920596,916.1328
1664920597,1074.1016
1664920598,1399.1719
1664920599,1697.1016
1664920600,2718.8828
1664920601,6998.1953
1664920602,8837.1406
1664920603,9186.4375
1664920604,10593.8984
1664920605,8960.4219
1664920607,6916.0078
1664920608,7429.6797
1664920609,5148.9766
1664920610,5231.1641
1664920611,5313.3516
1664920612,4809.9531
1664920613,5210.6172
1664920614,4317.8203
1664920615,1758.7422
1664920616,1799.8359
1664920617,5416.0859
1664920618,8929.6016
1664920619,8950.1484
1664920620,7265.3047
1664920621,9761.75
1664920622,11723.9766
1664920623,9895.3047
1664920624,10871.2812
1664920625,8785.7734
1664920626,7029.0156
1664920627,8168.375
1664920628,6208.1328
1664920629,3310.0312
1664920630,3032.6484
1664920631,2570.3438
1664920632,2524.2578
1664920633,1512.1797
1664920634,2139.3281
1664920635,5755.1094
1664920636,7388.5859
1664920637,8385.5781
1664920638,6895.4609
1664920639,6659.1719
1664920640,8631.6719
1664920641,5549.6406
1664920642,4388.7422
1664920643,3351.125
1664920644,2581.6094
1664920645,1635.4609
1664920646,6361.2422
1664920647,6823.5469
1664920648,7665.9688
1664920649,6268.7812
