seconds,bw
1664192696,5763.2109
1664192697,8897.6406
1664192698,10585.6328
1664192699,9227.625
1664192700,8496.7188
1664192702,6717.0
1664192703,7791.0312
1664192704,10317.9062
1664192705,10078.5547
1664192706,9164.0469
1664192707,5812.3047
1664192708,10948.1641
1664192710,10279.7812
1664192711,10893.7891
1664192712,9544.8125
1664192713,9163.6641
1664192714,11992.6797
1664192715,9631.7891
1664192717,7568.7344
1664192718,8310.7031
1664192719,5578.5312
1664192720,5846.2031
1664192721,6138.6406
1664192722,4714.4922
1664192723,7440.5703
1664192724,7842.125
1664192726,5953.4688
1664192727,6225.4453
1664192728,5801.9219
1664192729,9866.3984
1664192730,9415.2812
