seconds,frame_no,bw
1664925302,1,1
1664925302,2,1
1664925302,3,1
1664925302,4,1
1664925302,5,1
1664925302,6,1
1664925303,7,1
1664925303,8,1
1664925303,9,1
1664925303,10,1
1664925303,11,1
1664925303,12,1
1664925303,13,1
1664925303,14,2282.5078
1664925303,15,2282.5078
1664925303,16,2282.5078
1664925303,17,2282.5078
1664925303,18,2282.5078
1664925303,19,2282.5078
1664925303,20,2282.5078
1664925303,21,2282.5078
1664925303,22,2282.5078
1664925303,23,2282.5078
1664925303,24,2282.5078
1664925303,25,2282.5078
1664925303,26,2282.5078
1664925304,27,2282.5078
1664925304,28,2282.5078
1664925304,29,2282.5078
1664925304,30,2282.5078
1664925304,31,2282.5078
1664925304,32,2282.5078
1664925304,33,2579.7969
1664925304,34,2579.7969
1664925304,35,2579.7969
1664925304,36,2579.7969
1664925304,37,2579.7969
1664925304,38,2579.7969
1664925304,39,2579.7969
1664925304,40,2579.7969
1664925304,41,2579.7969
1664925304,42,2579.7969
1664925304,43,2579.7969
1664925305,44,2579.7969
1664925305,45,2579.7969
1664925305,46,2579.7969
1664925305,47,2579.7969
1664925305,48,2579.7969
1664925305,49,2579.7969
1664925305,50,2579.7969
1664925305,51,3021.7969
1664925305,52,3021.7969
1664925305,53,3021.7969
1664925305,54,3021.7969
1664925305,55,3021.7969
1664925305,56,3021.7969
1664925305,57,3021.7969
1664925305,58,3021.7969
1664925305,59,3021.7969
1664925305,60,3021.7969
1664925306,61,3021.7969
1664925306,62,3021.7969
1664925306,63,3021.7969
1664925306,64,3021.7969
1664925306,65,3021.7969
1664925306,66,3021.7969
1664925306,67,2858.2031
1664925306,68,2858.2031
1664925306,69,2858.2031
1664925306,70,2858.2031
1664925306,71,2858.2031
1664925306,72,2858.2031
1664925306,73,2858.2031
1664925306,74,2858.2031
1664925306,75,2858.2031
1664925306,76,2858.2031
1664925307,77,2858.2031
1664925307,78,2858.2031
1664925307,79,2858.2031
1664925307,80,2858.2031
1664925307,81,2858.2031
1664925307,82,2858.2031
1664925307,83,2858.2031
1664925307,84,2858.2031
1664925307,85,2858.2031
1664925307,86,2732.2109
1664925307,87,2732.2109
1664925307,88,2732.2109
1664925307,89,2732.2109
1664925307,90,2732.2109
1664925307,91,2732.2109
1664925307,92,2732.2109
1664925307,93,2732.2109
1664925308,94,2732.2109
1664925308,95,2732.2109
1664925308,96,2732.2109
1664925308,97,2732.2109
1664925308,98,2732.2109
1664925308,99,2732.2109
1664925308,100,2732.2109
1664925308,101,2732.2109
1664925308,102,2732.2109
1664925308,103,2732.2109
1664925308,104,2732.2109
1664925308,105,2283.6328
1664925308,106,2283.6328
1664925308,107,2283.6328
1664925308,108,2283.6328
1664925308,109,2283.6328
1664925308,110,2283.6328
1664925308,111,2283.6328
1664925309,112,2283.6328
1664925309,113,2283.6328
1664925309,114,2283.6328
1664925309,115,2283.6328
1664925309,116,2283.6328
1664925309,117,2283.6328
1664925309,118,2283.6328
1664925309,119,2283.6328
1664925309,120,2283.6328
1664925309,121,2261.2188
1664925309,122,2261.2188
1664925309,123,2261.2188
1664925309,124,2261.2188
1664925309,125,2261.2188
1664925309,126,2261.2188
1664925309,127,2261.2188
1664925309,128,2261.2188
1664925309,129,2261.2188
1664925309,130,2261.2188
1664925310,131,2261.2188
1664925310,132,2261.2188
1664925310,133,2261.2188
1664925310,134,2261.2188
1664925310,135,2261.2188
1664925310,136,2261.2188
1664925310,137,2261.2188
1664925310,138,2261.2188
1664925310,139,2261.2188
1664925310,140,2261.2188
1664925310,141,2261.2188
1664925310,142,2261.2188
1664925310,143,2261.2188
1664925310,144,2261.2188
1664925310,145,2128.7031
1664925310,146,2128.7031
1664925310,147,2128.7031
1664925310,148,2128.7031
1664925310,149,2128.7031
1664925310,150,2128.7031
1664925310,151,2128.7031
1664925310,152,2128.7031
1664925310,153,2128.7031
1664925311,154,2128.7031
1664925311,155,2128.7031
1664925311,156,2128.7031
1664925311,157,2128.7031
1664925311,158,2128.7031
1664925311,159,2128.7031
1664925311,160,2128.7031
1664925311,161,2128.7031
1664925311,162,2128.7031
1664925311,163,2128.7031
1664925311,164,2128.7031
1664925311,165,1752.5391
1664925311,166,1752.5391
1664925311,167,1752.5391
1664925311,168,1752.5391
1664925311,169,1752.5391
1664925311,170,1752.5391
1664925311,171,1752.5391
1664925311,172,1752.5391
1664925311,173,1752.5391
1664925312,174,1752.5391
1664925312,175,1752.5391
1664925312,176,1752.5391
1664925312,177,1752.5391
1664925312,178,1752.5391
1664925312,179,1752.5391
1664925312,180,1752.5391
1664925312,181,1752.5391
1664925312,182,1752.5391
1664925312,183,1752.5391
1664925312,184,1752.5391
1664925312,185,1752.5391
1664925312,186,2274.1094
1664925312,187,2274.1094
1664925312,188,2274.1094
1664925312,189,2274.1094
1664925312,190,2274.1094
1664925312,191,2274.1094
1664925312,192,2274.1094
1664925313,193,2274.1094
1664925313,194,2274.1094
1664925313,195,2274.1094
1664925313,196,2274.1094
1664925313,197,2274.1094
1664925313,198,2274.1094
1664925313,199,2274.1094
1664925313,200,2274.1094
1664925313,201,2274.1094
1664925313,202,2274.1094
1664925313,203,2520.2188
1664925313,204,2520.2188
1664925313,205,2520.2188
1664925313,206,2520.2188
1664925313,207,2520.2188
1664925313,208,2520.2188
1664925314,209,2520.2188
1664925314,210,2520.2188
1664925314,211,2520.2188
1664925314,212,2520.2188
1664925314,213,2520.2188
1664925314,214,2520.2188
1664925314,215,2520.2188
1664925314,216,2520.2188
1664925314,217,2520.2188
1664925314,218,2520.2188
1664925314,219,2520.2188
1664925314,220,2725.8438
1664925314,221,2725.8438
1664925314,222,2725.8438
1664925314,223,2725.8438
1664925314,224,2725.8438
1664925314,225,2725.8438
1664925314,226,2725.8438
1664925315,227,2725.8438
1664925315,228,2725.8438
1664925315,229,2725.8438
1664925315,230,2725.8438
1664925315,231,2725.8438
1664925315,232,2725.8438
