second,frame,seconds,n,k,PLR
4455, 0, 1664192696, 530, 529, 0
4455, 1, 1664192696, 245, 244, 0
4456, 2, 1664192696, 240, 239, 0
4456, 3, 1664192697, 335, 334, 0
4456, 4, 1664192697, 323, 322, 0.0
4457, 5, 1664192697, 303, 302, 0.0
4457, 6, 1664192698, 346, 345, 0.0
4457, 7, 1664192698, 341, 340, 0.0
4459, 8, 1664192699, 243, 242, 0.0
4459, 9, 1664192699, 265, 264, 0.0
4459, 10, 1664192699, 318, 317, 0.0
450, 11, 1664192700, 265, 264, 0.0
450, 12, 1664192700, 200, 199, 0.0
450, 13, 1664192700, 205, 204, 0.0
451, 14, 1664192701, 224, 223, 0.0
451, 15, 1664192701, 188, 187, 0.0
451, 16, 1664192702, 180, 179, 0.0
452, 17, 1664192702, 229, 228, 0.0
452, 18, 1664192702, 309, 308, 0.0
452, 19, 1664192703, 305, 304, 0.0
453, 20, 1664192703, 351, 350, 0.0
453, 21, 1664192703, 293, 292, 0.0
453, 22, 1664192704, 319, 318, 0.0
454, 23, 1664192704, 322, 321, 0.0
454, 24, 1664192705, 286, 285, 0.0
454, 25, 1664192705, 275, 274, 0.0
455, 26, 1664192705, 281, 280, 0.0
455, 27, 1664192706, 279, 278, 0.0
455, 28, 1664192706, 192, 191, 0.0
456, 29, 1664192706, 154, 153, 0.0
456, 30, 1664192707, 197, 196, 0.0
456, 31, 1664192707, 300, 299, 0.0
458, 32, 1664192708, 336, 335, 0.0
458, 33, 1664192708, 370, 369, 0.0
458, 34, 1664192708, 329, 328, 0.0
459, 35, 1664192709, 274, 273, 0.0
459, 36, 1664192709, 343, 342, 0.0
459, 37, 1664192710, 368, 367, 0.0
4510, 38, 1664192710, 306, 305, 0.0
4510, 39, 1664192710, 327, 326, 0.0
4510, 40, 1664192711, 304, 303, 0.0
4511, 41, 1664192711, 267, 266, 0.0
4511, 42, 1664192712, 308, 307, 0.0
4511, 43, 1664192712, 275, 274, 0.0
4512, 44, 1664192712, 280, 279, 0.0
4512, 45, 1664192713, 286, 285, 0.0
4512, 46, 1664192713, 392, 391, 0.0
4513, 47, 1664192714, 405, 404, 0.0
4513, 48, 1664192714, 307, 306, 0.0
4513, 49, 1664192714, 302, 301, 0.0
4515, 50, 1664192715, 298, 297, 0.0
4515, 51, 1664192715, 284, 283, 0.0
4515, 52, 1664192716, 272, 271, 0.0
4516, 53, 1664192716, 234, 233, 0.0
4516, 54, 1664192716, 193, 192, 0.0
4516, 55, 1664192717, 262, 261, 0.0
4517, 56, 1664192717, 269, 268, 0.0
4517, 57, 1664192717, 232, 231, 0.0
4517, 58, 1664192718, 164, 163, 0.0
4518, 59, 1664192718, 180, 179, 0.0
4518, 60, 1664192719, 170, 169, 0.0
4518, 61, 1664192719, 173, 172, 0.0
4519, 62, 1664192719, 150, 149, 0.0
4519, 63, 1664192720, 216, 215, 0.0
4519, 64, 1664192720, 185, 184, 0.0
4520, 65, 1664192720, 168, 167, 0.0
4520, 66, 1664192721, 210, 209, 0.0
4520, 67, 1664192721, 164, 163, 0.0
4521, 68, 1664192721, 145, 144, 0.0
4521, 69, 1664192722, 126, 125, 0.0
4521, 70, 1664192722, 187, 186, 0.0
4523, 71, 1664192723, 227, 226, 0.0
4523, 72, 1664192723, 271, 270, 0.0
4523, 73, 1664192723, 261, 260, 0.0
4524, 74, 1664192724, 260, 259, 0.0
4524, 75, 1664192724, 194, 193, 0.0
4524, 76, 1664192725, 194, 193, 0.0
4525, 77, 1664192725, 175, 174, 0.0
4525, 78, 1664192725, 186, 185, 0.0
4525, 79, 1664192726, 191, 190, 0.0
4526, 80, 1664192726, 182, 181, 0.0
4526, 81, 1664192726, 199, 198, 0.0
4526, 82, 1664192727, 185, 184, 0.0
4527, 83, 1664192727, 170, 169, 0.0
4527, 84, 1664192728, 179, 178, 0.0
4527, 85, 1664192728, 263, 262, 0.0
4528, 86, 1664192728, 293, 292, 0.0
4528, 87, 1664192729, 351, 350, 0.0
4528, 88, 1664192729, 263, 262, 0.0
4529, 89, 1664192729, 309, 308, 0.0
4529, 90, 1664192730, 294, 293, 0.0
4529, 91, 1664192730, 251, 250, 0.0
