second,frame,seconds,n,k,PLR
492, 0, 1664880542, 274, 273, 0
492, 1, 1664880542, 38, 37, 0
492, 2, 1664880542, 27, 26, 0
492, 3, 1664880542, 28, 27, 0
492, 4, 1664880542, 37, 36, 0
492, 5, 1664880542, 32, 31, 0
492, 6, 1664880542, 29, 28, 0
492, 7, 1664880542, 27, 26, 0
492, 8, 1664880542, 27, 26, 0
492, 9, 1664880542, 25, 24, 0
492, 10, 1664880543, 39, 38, 0
492, 11, 1664880543, 18, 17, 0
492, 12, 1664880543, 23, 22, 0
492, 13, 1664880543, 18, 17, 0
492, 14, 1664880543, 29, 28, 0
492, 15, 1664880543, 22, 21, 0
492, 16, 1664880543, 32, 31, 0
492, 17, 1664880543, 27, 26, 0
492, 18, 1664880543, 26, 25, 0
492, 19, 1664880543, 24, 23, 0
492, 20, 1664880543, 42, 41, 0
492, 21, 1664880543, 26, 25, 0
492, 22, 1664880543, 22, 21, 0
492, 23, 1664880543, 18, 17, 0
492, 24, 1664880543, 19, 18, 0
492, 25, 1664880543, 17, 16, 0
492, 26, 1664880543, 29, 28, 0
493, 27, 1664880543, 27, 26, 0
493, 28, 1664880543, 29, 28, 0
493, 29, 1664880543, 25, 24, 0
493, 30, 1664880543, 52, 51, 0
493, 31, 1664880543, 28, 27, 0
493, 32, 1664880543, 29, 28, 0
493, 33, 1664880543, 32, 31, 0
493, 34, 1664880543, 35, 34, 0
493, 35, 1664880543, 34, 33, 0
493, 36, 1664880543, 31, 30, 0
493, 37, 1664880543, 35, 34, 0
493, 38, 1664880544, 36, 35, 0
493, 39, 1664880544, 37, 36, 0
493, 40, 1664880544, 72, 71, 0
493, 41, 1664880544, 30, 29, 0
493, 42, 1664880544, 31, 30, 0.00031084064086446084
493, 43, 1664880544, 34, 33, 0.00031084064086446084
493, 44, 1664880544, 33, 32, 0.00031084064086446084
493, 45, 1664880544, 27, 26, 0.00031084064086446084
493, 46, 1664880544, 30, 29, 0.00031084064086446084
493, 47, 1664880544, 24, 23, 0.00031084064086446084
493, 48, 1664880544, 33, 32, 0.00031084064086446084
493, 49, 1664880544, 21, 20, 0.00031084064086446084
493, 50, 1664880544, 80, 79, 0.00031084064086446084
493, 51, 1664880544, 24, 23, 0.00031084064086446084
493, 52, 1664880544, 21, 20, 0.00031084064086446084
493, 53, 1664880544, 37, 36, 0.00031084064086446084
493, 54, 1664880544, 25, 24, 0.00031084064086446084
494, 55, 1664880544, 24, 23, 0.00031084064086446084
494, 56, 1664880544, 23, 22, 0.00031084064086446084
494, 57, 1664880544, 22, 21, 0.00031084064086446084
494, 58, 1664880544, 24, 23, 0.00031084064086446084
494, 59, 1664880544, 38, 37, 0.00031084064086446084
494, 60, 1664880544, 80, 79, 0.00031084064086446084
494, 61, 1664880544, 27, 26, 0.00031084064086446084
494, 62, 1664880544, 33, 32, 0.00031084064086446084
494, 63, 1664880544, 35, 34, 0.00031084064086446084
494, 64, 1664880544, 31, 30, 0.00031084064086446084
494, 65, 1664880544, 31, 30, 0.00031084064086446084
494, 66, 1664880545, 26, 25, 0.00031084064086446084
494, 67, 1664880545, 34, 33, 0.00031084064086446084
494, 68, 1664880545, 31, 30, 0.0006977591776914625
494, 69, 1664880545, 30, 29, 0.0006977591776914625
494, 70, 1664880545, 79, 78, 0.0006977591776914625
494, 71, 1664880545, 32, 31, 0.0006977591776914625
494, 72, 1664880545, 29, 28, 0.0006977591776914625
494, 73, 1664880545, 30, 29, 0.0006977591776914625
494, 74, 1664880545, 32, 31, 0.0006977591776914625
494, 75, 1664880545, 36, 35, 0.0006977591776914625
494, 76, 1664880545, 31, 30, 0.0006977591776914625
494, 77, 1664880545, 29, 28, 0.0006977591776914625
494, 78, 1664880545, 28, 27, 0.0006977591776914625
494, 79, 1664880545, 28, 27, 0.0006977591776914625
494, 80, 1664880545, 63, 62, 0.0006977591776914625
494, 81, 1664880545, 22, 21, 0.0006977591776914625
494, 82, 1664880545, 20, 19, 0.0006977591776914625
494, 83, 1664880545, 22, 21, 0.0006977591776914625
495, 84, 1664880545, 22, 21, 0.0006977591776914625
495, 85, 1664880545, 21, 20, 0.0006977591776914625
495, 86, 1664880545, 21, 20, 0.0006977591776914625
495, 87, 1664880545, 21, 20, 0.0006977591776914625
495, 88, 1664880545, 21, 20, 0.0006977591776914625
495, 89, 1664880545, 23, 22, 0.0006977591776914625
495, 90, 1664880545, 66, 65, 0.0006977591776914625
495, 91, 1664880545, 19, 18, 0.0006977591776914625
495, 92, 1664880545, 17, 16, 0.0006977591776914625
495, 93, 1664880545, 20, 19, 0.0006977591776914625
495, 94, 1664880546, 23, 22, 0.0006977591776914625
495, 95, 1664880546, 17, 16, 0.0017256291494503564
495, 96, 1664880546, 28, 27, 0.0017256291494503564
495, 97, 1664880546, 28, 27, 0.0017256291494503564
495, 98, 1664880546, 31, 30, 0.0017256291494503564
495, 99, 1664880546, 29, 28, 0.0017256291494503564
495, 100, 1664880546, 80, 79, 0.0017256291494503564
495, 101, 1664880546, 34, 33, 0.0017256291494503564
495, 102, 1664880546, 35, 34, 0.0017256291494503564
495, 103, 1664880546, 35, 34, 0.0017256291494503564
495, 104, 1664880546, 29, 28, 0.0017256291494503564
495, 105, 1664880546, 27, 26, 0.0017256291494503564
495, 106, 1664880546, 23, 22, 0.0017256291494503564
495, 107, 1664880546, 22, 21, 0.0017256291494503564
495, 108, 1664880546, 22, 21, 0.0017256291494503564
495, 109, 1664880546, 25, 24, 0.0017256291494503564
495, 110, 1664880546, 68, 67, 0.0017256291494503564
495, 111, 1664880546, 32, 31, 0.0017256291494503564
496, 112, 1664880546, 32, 31, 0.0017256291494503564
496, 113, 1664880546, 30, 29, 0.0017256291494503564
496, 114, 1664880546, 28, 27, 0.0017256291494503564
496, 115, 1664880546, 20, 19, 0.0017256291494503564
496, 116, 1664880546, 19, 18, 0.0017256291494503564
496, 117, 1664880546, 17, 16, 0.0017256291494503564
496, 118, 1664880546, 15, 14, 0.0017256291494503564
496, 119, 1664880546, 17, 16, 0.0017256291494503564
496, 120, 1664880546, 60, 59, 0.0017256291494503564
496, 121, 1664880546, 17, 16, 0.0017256291494503564
496, 122, 1664880547, 15, 14, 0.0017256291494503564
496, 123, 1664880547, 18, 17, 0.0017256291494503564
496, 124, 1664880547, 18, 17, 0.0015629293772194556
496, 125, 1664880547, 18, 17, 0.0015629293772194556
496, 126, 1664880547, 17, 16, 0.0015629293772194556
496, 127, 1664880547, 17, 16, 0.0015629293772194556
496, 128, 1664880547, 16, 15, 0.0015629293772194556
496, 129, 1664880547, 17, 16, 0.0015629293772194556
496, 130, 1664880547, 66, 65, 0.0015629293772194556
496, 131, 1664880547, 12, 11, 0.0015629293772194556
496, 132, 1664880547, 14, 13, 0.0015629293772194556
496, 133, 1664880547, 16, 15, 0.0015629293772194556
496, 134, 1664880547, 15, 14, 0.0015629293772194556
496, 135, 1664880547, 17, 16, 0.0015629293772194556
496, 136, 1664880547, 16, 15, 0.0015629293772194556
496, 137, 1664880547, 15, 14, 0.0015629293772194556
496, 138, 1664880547, 20, 19, 0.0015629293772194556
496, 139, 1664880547, 27, 26, 0.0015629293772194556
497, 140, 1664880547, 66, 65, 0.0015629293772194556
497, 141, 1664880547, 26, 25, 0.0015629293772194556
497, 142, 1664880547, 26, 25, 0.0015629293772194556
497, 143, 1664880547, 21, 20, 0.0015629293772194556
497, 144, 1664880547, 18, 17, 0.0015629293772194556
497, 145, 1664880547, 16, 15, 0.0015629293772194556
497, 146, 1664880547, 14, 13, 0.0015629293772194556
497, 147, 1664880547, 17, 16, 0.0015629293772194556
497, 148, 1664880547, 18, 17, 0.0015629293772194556
497, 149, 1664880547, 16, 15, 0.0015629293772194556
497, 150, 1664880548, 60, 59, 0.0015629293772194556
497, 151, 1664880548, 15, 14, 0.0013513830958469606
497, 152, 1664880548, 14, 13, 0.0013513830958469606
497, 153, 1664880548, 14, 13, 0.0013513830958469606
497, 154, 1664880548, 12, 11, 0.0013513830958469606
497, 155, 1664880548, 13, 12, 0.0013513830958469606
497, 156, 1664880548, 16, 15, 0.0013513830958469606
497, 157, 1664880548, 19, 18, 0.0013513830958469606
497, 158, 1664880548, 19, 18, 0.0013513830958469606
497, 159, 1664880548, 19, 18, 0.0013513830958469606
497, 160, 1664880548, 57, 56, 0.0013513830958469606
497, 161, 1664880548, 19, 18, 0.0013513830958469606
497, 162, 1664880548, 19, 18, 0.0013513830958469606
497, 163, 1664880548, 15, 14, 0.0013513830958469606
497, 164, 1664880548, 15, 14, 0.0013513830958469606
497, 165, 1664880548, 13, 12, 0.0013513830958469606
497, 166, 1664880548, 13, 12, 0.0013513830958469606
497, 167, 1664880548, 14, 13, 0.0013513830958469606
497, 168, 1664880548, 13, 12, 0.0013513830958469606
498, 169, 1664880548, 17, 16, 0.0013513830958469606
498, 170, 1664880548, 60, 59, 0.0013513830958469606
498, 171, 1664880548, 19, 18, 0.0013513830958469606
498, 172, 1664880548, 18, 17, 0.0013513830958469606
498, 173, 1664880548, 19, 18, 0.0013513830958469606
498, 174, 1664880548, 23, 22, 0.0013513830958469606
498, 175, 1664880548, 23, 22, 0.0013513830958469606
498, 176, 1664880548, 21, 20, 0.0013513830958469606
498, 177, 1664880548, 22, 21, 0.0013513830958469606
498, 178, 1664880549, 19, 18, 0.0011807495052056508
498, 179, 1664880549, 21, 20, 0.0011807495052056508
498, 180, 1664880549, 97, 96, 0.0011807495052056508
498, 181, 1664880549, 20, 19, 0.0011807495052056508
498, 182, 1664880549, 23, 22, 0.0011807495052056508
498, 183, 1664880549, 24, 23, 0.0011807495052056508
498, 184, 1664880549, 21, 20, 0.0011807495052056508
498, 185, 1664880549, 25, 24, 0.0011807495052056508
498, 186, 1664880549, 26, 25, 0.0011807495052056508
498, 187, 1664880549, 27, 26, 0.0011807495052056508
498, 188, 1664880549, 29, 28, 0.0011807495052056508
498, 189, 1664880549, 30, 29, 0.0011807495052056508
498, 190, 1664880549, 101, 100, 0.0011807495052056508
498, 191, 1664880549, 20, 19, 0.0011807495052056508
498, 192, 1664880549, 18, 17, 0.0011807495052056508
498, 193, 1664880549, 23, 22, 0.0011807495052056508
498, 194, 1664880549, 23, 22, 0.0011807495052056508
498, 195, 1664880549, 26, 25, 0.0011807495052056508
498, 196, 1664880549, 24, 23, 0.0011807495052056508
498, 197, 1664880549, 27, 26, 0.0011807495052056508
499, 198, 1664880549, 25, 24, 0.0011807495052056508
499, 199, 1664880549, 32, 31, 0.0011807495052056508
499, 200, 1664880549, 95, 94, 0.0011807495052056508
499, 201, 1664880549, 30, 29, 0.0011807495052056508
499, 202, 1664880549, 28, 27, 0.0011807495052056508
499, 203, 1664880549, 33, 32, 0.0011807495052056508
499, 204, 1664880549, 31, 30, 0.0011807495052056508
499, 205, 1664880549, 33, 32, 0.000988252200840293
499, 206, 1664880550, 29, 28, 0.000988252200840293
499, 207, 1664880550, 27, 26, 0.000988252200840293
499, 208, 1664880550, 26, 25, 0.000988252200840293
499, 209, 1664880550, 33, 32, 0.000988252200840293
499, 210, 1664880550, 79, 78, 0.000988252200840293
499, 211, 1664880550, 43, 42, 0.000988252200840293
499, 212, 1664880550, 24, 23, 0.000988252200840293
499, 213, 1664880550, 28, 27, 0.000988252200840293
499, 214, 1664880550, 28, 27, 0.000988252200840293
499, 215, 1664880550, 23, 22, 0.000988252200840293
499, 216, 1664880550, 20, 19, 0.000988252200840293
499, 217, 1664880550, 23, 22, 0.000988252200840293
499, 218, 1664880550, 18, 17, 0.000988252200840293
499, 219, 1664880550, 20, 19, 0.000988252200840293
499, 220, 1664880550, 57, 56, 0.000988252200840293
499, 221, 1664880550, 22, 21, 0.000988252200840293
499, 222, 1664880550, 25, 24, 0.000988252200840293
499, 223, 1664880550, 27, 26, 0.000988252200840293
499, 224, 1664880550, 25, 24, 0.000988252200840293
499, 225, 1664880550, 31, 30, 0.000988252200840293
4910, 226, 1664880550, 37, 36, 0.000988252200840293
4910, 227, 1664880550, 33, 32, 0.000988252200840293
4910, 228, 1664880550, 38, 37, 0.000988252200840293
