process,frame_no,time
rlncdec, 0, 3.4983158111572266
vp8dec, 0, 51.85055732727051
vp8dec, 1, 31.537771224975586
display, 0, 73.70591163635254
vp8dec, 2, 58.806657791137695
display, 1, 23.290634155273438
vp8dec, 3, 34.24072265625
display, 2, 28.20873260498047
vp8dec, 4, 40.27557373046875
display, 3, 21.698951721191406
display, 4, 18.253803253173828
vp8dec, 5, 25.547504425048828
vp8dec, 6, 23.43916893005371
display, 5, 20.314931869506836
vp8dec, 7, 31.482458114624023
display, 6, 14.997720718383789
vp8dec, 8, 21.767616271972656
display, 7, 17.93980598449707
vp8dec, 9, 32.1657657623291
display, 8, 18.8901424407959
vp8dec, 10, 20.519256591796875
display, 9, 13.822317123413086
display, 10, 22.536516189575195
vp8dec, 11, 35.14671325683594
vp8dec, 12, 26.678800582885742
display, 11, 22.212505340576172
vp8dec, 13, 30.87449073791504
display, 12, 20.789384841918945
vp8dec, 14, 21.59261703491211
display, 13, 21.307706832885742
vp8dec, 15, 32.560110092163086
display, 14, 21.386146545410156
display, 15, 19.623517990112305
vp8dec, 16, 30.66730499267578
display, 16, 25.945425033569336
vp8dec, 17, 33.249616622924805
vp8dec, 18, 43.40529441833496
display, 17, 34.276485443115234
vp8dec, 19, 34.83438491821289
display, 18, 28.6409854888916
vp8dec, 20, 40.88306427001953
display, 19, 23.023128509521484
vp8dec, 21, 31.17966651916504
display, 20, 17.786502838134766
vp8dec, 22, 22.99189567565918
display, 21, 17.40550994873047
vp8dec, 23, 30.632734298706055
display, 22, 15.33198356628418
vp8dec, 24, 26.015043258666992
rlncdec, 26, 24.709463119506836
display, 23, 13.510465621948242
vp8dec, 25, 26.62348747253418
display, 24, 20.427942276000977
vp8dec, 26, 27.91452407836914
display, 25, 16.493558883666992
vp8dec, 27, 27.501821517944336
display, 26, 20.4317569732666
vp8dec, 28, 32.73820877075195
display, 27, 17.0595645904541
display, 28, 23.639917373657227
vp8dec, 29, 34.529924392700195
vp8dec, 30, 27.601003646850586
display, 29, 17.175674438476562
vp8dec, 31, 20.883560180664062
display, 30, 20.542621612548828
vp8dec, 32, 27.37283706665039
display, 31, 18.6917781829834
vp8dec, 33, 29.164791107177734
display, 32, 16.281604766845703
vp8dec, 34, 27.97675132751465
display, 33, 16.474485397338867
vp8dec, 35, 24.954557418823242
display, 34, 19.780397415161133
vp8dec, 36, 25.251150131225586
display, 35, 12.115716934204102
display, 36, 14.620780944824219
vp8dec, 37, 18.59426498413086
display, 37, 16.793489456176758
vp8dec, 38, 27.32229232788086
