frame_no,delay,timebase,pts,ts
0,14.865875244140625,1/90000,0,1664880114634.0671
1,7.62939453125,1/90000,3000,1664880114714.705
2,7.941246032714844,1/90000,6000,1664880114758.2542
3,10.795831680297852,1/90000,9000,1664880114793.0862
4,13.49949836730957,1/90000,12000,1664880114845.3367
5,14.077186584472656,1/90000,15000,1664880114891.941
6,13.097047805786133,1/90000,18000,1664880114954.0037
7,12.995481491088867,1/90000,21000,1664880114998.2756
8,13.715744018554688,1/90000,24000,1664880115059.7087
9,12.6800537109375,1/90000,27000,1664880115106.8628
10,13.831615447998047,1/90000,30000,1664880115169.523
11,13.29183578491211,1/90000,33000,1664880115224.2844
12,19.432783126831055,1/90000,36000,1664880115280.2742
13,11.60740852355957,1/90000,39000,1664880115330.2979
14,11.191606521606445,1/90000,42000,1664880115392.0215
15,13.745307922363281,1/90000,45000,1664880115436.8848
16,14.1754150390625,1/90000,48000,1664880115493.786
17,17.840147018432617,1/90000,51000,1664880115551.7334
18,14.00613784790039,1/90000,54000,1664880115611.54
19,13.460159301757812,1/90000,57000,1664880115660.9329
20,12.04991340637207,1/90000,60000,1664880115715.0098
21,12.247085571289062,1/90000,63000,1664880115772.398
22,14.559507369995117,1/90000,66000,1664880115829.839
23,12.699365615844727,1/90000,69000,1664880115880.9744
24,14.876842498779297,1/90000,72000,1664880115932.1104
25,10.473966598510742,1/90000,75000,1664880115983.9402
26,12.570858001708984,1/90000,78000,1664880116035.4053
27,13.465642929077148,1/90000,81000,1664880116084.094
28,10.389566421508789,1/90000,84000,1664880116148.4626
29,14.194011688232422,1/90000,87000,1664880116196.1372
30,16.385793685913086,1/90000,90000,1664880116259.116
31,9.804248809814453,1/90000,93000,1664880116317.227
32,12.962579727172852,1/90000,96000,1664880116368.271
33,14.017343521118164,1/90000,99000,1664880116421.9836
34,13.764381408691406,1/90000,102000,1664880116492.7744
35,13.861894607543945,1/90000,105000,1664880116552.6484
36,14.308452606201172,1/90000,108000,1664880116613.0085
37,7.311344146728516,1/90000,111000,1664880116669.9114
38,7.129907608032227,1/90000,114000,1664880116723.417
39,10.286092758178711,1/90000,117000,1664880116779.0127
40,7.240056991577148,1/90000,120000,1664880116831.1428
41,6.634235382080078,1/90000,123000,1664880116879.3945
42,6.426334381103516,1/90000,126000,1664880116930.5127
43,10.105609893798828,1/90000,129000,1664880116984.6829
44,6.209373474121094,1/90000,132000,1664880117036.624
45,6.237983703613281,1/90000,135000,1664880117088.33
46,7.691621780395508,1/90000,138000,1664880117134.235
47,11.620759963989258,1/90000,141000,1664880117187.8477
48,14.297246932983398,1/90000,144000,1664880117240.9219
49,15.647411346435547,1/90000,147000,1664880117305.9788
50,10.609626770019531,1/90000,150000,1664880117371.38
51,14.697074890136719,1/90000,153000,1664880117428.9465
52,14.07170295715332,1/90000,156000,1664880117495.0315
53,13.54360580444336,1/90000,159000,1664880117557.7273
54,13.951539993286133,1/90000,162000,1664880117631.5322
55,13.615608215332031,1/90000,165000,1664880117679.8125
56,13.94033432006836,1/90000,168000,1664880117746.9229
57,13.817310333251953,1/90000,171000,1664880117795.226
58,19.070148468017578,1/90000,174000,1664880117858.7444
59,14.347076416015625,1/90000,177000,1664880117916.9705
60,14.088153839111328,1/90000,180000,1664880117982.6875
61,14.06240463256836,1/90000,183000,1664880118031.8865
62,14.417648315429688,1/90000,186000,1664880118103.8254
63,14.160871505737305,1/90000,189000,1664880118160.4417
64,13.935565948486328,1/90000,192000,1664880118226.2424
65,13.866424560546875,1/90000,195000,1664880118279.764
66,13.826847076416016,1/90000,198000,1664880118341.8245
67,13.532161712646484,1/90000,201000,1664880118387.902
68,14.158487319946289,1/90000,204000,1664880118447.6714
69,12.606382369995117,1/90000,207000,1664880118504.8914
70,18.285751342773438,1/90000,210000,1664880118561.749
71,12.601613998413086,1/90000,213000,1664880118625.5308
72,13.617992401123047,1/90000,216000,1664880118688.5713
73,14.195442199707031,1/90000,219000,1664880118746.4941
74,13.829231262207031,1/90000,222000,1664880118807.4087
75,12.969255447387695,1/90000,225000,1664880118863.2166
76,13.792276382446289,1/90000,228000,1664880118927.9688
77,13.774633407592773,1/90000,231000,1664880118990.2117
78,13.777732849121094,1/90000,234000,1664880119051.2502
79,13.806581497192383,1/90000,237000,1664880119110.0742
80,13.859033584594727,1/90000,240000,1664880119169.576
81,13.708829879760742,1/90000,243000,1664880119229.1697
82,13.820648193359375,1/90000,246000,1664880119282.4902
83,13.68260383605957,1/90000,249000,1664880119341.5566
84,13.84592056274414,1/90000,252000,1664880119399.3193
85,18.770694732666016,1/90000,255000,1664880119454.092
86,13.709068298339844,1/90000,258000,1664880119513.0815
87,13.776063919067383,1/90000,261000,1664880119576.603
88,13.36812973022461,1/90000,264000,1664880119642.543
89,13.703346252441406,1/90000,267000,1664880119697.6436
90,12.824296951293945,1/90000,270000,1664880119749.3948
91,13.78178596496582,1/90000,273000,1664880119807.266
92,13.878107070922852,1/90000,276000,1664880119864.738
93,13.733625411987305,1/90000,279000,1664880119922.3281
94,16.66855812072754,1/90000,282000,1664880119985.7512
95,13.328790664672852,1/90000,285000,1664880120035.38
96,13.666152954101562,1/90000,288000,1664880120087.6453
97,23.27728271484375,1/90000,291000,1664880120135.5764
98,13.869762420654297,1/90000,294000,1664880120209.292
99,13.649940490722656,1/90000,297000,1664880120259.2947
100,11.186838150024414,1/90000,300000,1664880120320.6394
101,15.209436416625977,1/90000,303000,1664880120377.418
102,12.237071990966797,1/90000,306000,1664880120446.86
103,10.244369506835938,1/90000,309000,1664880120491.262
104,11.588811874389648,1/90000,312000,1664880120542.909
105,13.205289840698242,1/90000,315000,1664880120590.3477
106,14.499187469482422,1/90000,318000,1664880120646.354
107,14.492988586425781,1/90000,321000,1664880120714.3481
108,13.952016830444336,1/90000,324000,1664880120774.8938
109,13.938188552856445,1/90000,327000,1664880120828.2854
110,11.479616165161133,1/90000,330000,1664880120886.8525
111,10.697364807128906,1/90000,333000,1664880120945.8333
112,10.994911193847656,1/90000,336000,1664880120990.8794
113,13.726472854614258,1/90000,339000,1664880121046.0957
114,13.890504837036133,1/90000,342000,1664880121097.0989
115,17.586469650268555,1/90000,345000,1664880121149.2712
116,7.188558578491211,1/90000,348000,1664880121208.7256
117,10.245323181152344,1/90000,351000,1664880121262.8428
118,6.988048553466797,1/90000,354000,1664880121308.4465
119,9.582757949829102,1/90000,357000,1664880121350.439
120,6.99615478515625,1/90000,360000,1664880121403.636
121,14.81485366821289,1/90000,363000,1664880121445.7195
122,11.508464813232422,1/90000,366000,1664880121493.2554
123,9.328365325927734,1/90000,369000,1664880121536.4817
124,12.151479721069336,1/90000,372000,1664880121576.7048
125,10.990381240844727,1/90000,375000,1664880121629.0269
126,13.653039932250977,1/90000,378000,1664880121680.7742
127,13.264894485473633,1/90000,381000,1664880121720.7046
128,11.352300643920898,1/90000,384000,1664880121770.7712
129,12.279510498046875,1/90000,387000,1664880121812.8242
130,12.304067611694336,1/90000,390000,1664880121863.393
131,14.326810836791992,1/90000,393000,1664880121911.8394
132,7.239818572998047,1/90000,396000,1664880121969.8733
133,8.731842041015625,1/90000,399000,1664880122013.0984
134,7.119178771972656,1/90000,402000,1664880122069.919
135,8.171319961547852,1/90000,405000,1664880122116.313
136,7.328271865844727,1/90000,408000,1664880122163.0715
137,11.604547500610352,1/90000,411000,1664880122215.3723
138,13.620376586914062,1/90000,414000,1664880122268.5593
139,12.386798858642578,1/90000,417000,1664880122313.3833
140,14.17088508605957,1/90000,420000,1664880122367.1763
141,13.399124145507812,1/90000,423000,1664880122417.7737
142,14.481782913208008,1/90000,426000,1664880122474.033
143,12.249946594238281,1/90000,429000,1664880122526.3271
144,13.847827911376953,1/90000,432000,1664880122577.4058
145,10.224103927612305,1/90000,435000,1664880122630.177
146,8.970022201538086,1/90000,438000,1664880122674.471
147,7.444858551025391,1/90000,441000,1664880122719.3638
148,9.923934936523438,1/90000,444000,1664880122764.438
149,10.564804077148438,1/90000,447000,1664880122812.3604
150,2.507448196411133,1/90000,450000,1664880122864.1733
151,2.0856857299804688,1/90000,453000,1664880122890.882
152,2.359151840209961,1/90000,456000,1664880122930.7227
153,2.646923065185547,1/90000,459000,1664880122958.8186
154,2.949237823486328,1/90000,462000,1664880122994.6182
155,2.3241043090820312,1/90000,465000,1664880123023.2048
156,2.6743412017822266,1/90000,468000,1664880123062.0066
157,3.0486583709716797,1/90000,471000,1664880123089.5178
158,2.5022029876708984,1/90000,474000,1664880123116.011
159,2.5339126586914062,1/90000,477000,1664880123139.3723
160,2.4819374084472656,1/90000,480000,1664880123172.3848
161,2.767801284790039,1/90000,483000,1664880123197.1948
162,2.3572444915771484,1/90000,486000,1664880123224.5105
163,2.6006698608398438,1/90000,489000,1664880123252.375
164,3.1239986419677734,1/90000,492000,1664880123281.981
165,2.8100013732910156,1/90000,495000,1664880123311.5898
166,2.453327178955078,1/90000,498000,1664880123345.3977
167,2.7446746826171875,1/90000,501000,1664880123380.6702
168,2.9828548431396484,1/90000,504000,1664880123408.5
169,3.3767223358154297,1/90000,507000,1664880123448.3523
170,3.0317306518554688,1/90000,510000,1664880123476.117
171,3.4415721893310547,1/90000,513000,1664880123516.174
172,2.4869441986083984,1/90000,516000,1664880123546.2996
173,3.0977725982666016,1/90000,519000,1664880123586.266
174,2.3102760314941406,1/90000,522000,1664880123614.138
175,3.404855728149414,1/90000,525000,1664880123648.3772
176,3.166675567626953,1/90000,528000,1664880123680.5376
177,3.3948421478271484,1/90000,531000,1664880123719.9763
178,3.1614303588867188,1/90000,534000,1664880123755.568
179,3.9238929748535156,1/90000,537000,1664880123793.1013
180,3.8781166076660156,1/90000,540000,1664880123831.3718
181,3.612041473388672,1/90000,543000,1664880123871.7566
182,3.4089088439941406,1/90000,546000,1664880123914.2146
183,3.628253936767578,1/90000,549000,1664880123960.8613
184,3.5049915313720703,1/90000,552000,1664880124003.8733
185,10.31351089477539,1/90000,555000,1664880124053.937
186,7.730245590209961,1/90000,558000,1664880124105.6074
187,13.278961181640625,1/90000,561000,1664880124164.3416
188,14.470577239990234,1/90000,564000,1664880124231.3074
189,14.974117279052734,1/90000,567000,1664880124297.4167
190,14.867782592773438,1/90000,570000,1664880124360.0215
191,15.036582946777344,1/90000,573000,1664880124422.4092
192,14.182567596435547,1/90000,576000,1664880124482.8462
193,14.088153839111328,1/90000,579000,1664880124536.6174
194,12.643098831176758,1/90000,582000,1664880124582.7317
195,14.163017272949219,1/90000,585000,1664880124647.551
196,14.12057876586914,1/90000,588000,1664880124692.6453
197,14.389276504516602,1/90000,591000,1664880124750.8066
198,12.26949691772461,1/90000,594000,1664880124796.0366
199,14.15705680847168,1/90000,597000,1664880124852.955
200,14.639854431152344,1/90000,600000,1664880124902.2341
201,14.428377151489258,1/90000,603000,1664880124973.8982
202,14.22119140625,1/90000,606000,1664880125026.7627
203,14.282464981079102,1/90000,609000,1664880125088.2322
204,13.842344284057617,1/90000,612000,1664880125138.0752
205,14.14036750793457,1/90000,615000,1664880125203.5095
206,14.418840408325195,1/90000,618000,1664880125258.861
207,14.267206192016602,1/90000,621000,1664880125321.67
208,14.080047607421875,1/90000,624000,1664880125370.2556
209,14.775276184082031,1/90000,627000,1664880125434.6313
210,14.274835586547852,1/90000,630000,1664880125490.5642
211,14.29438591003418,1/90000,633000,1664880125555.5173
212,14.009237289428711,1/90000,636000,1664880125605.151
213,14.480113983154297,1/90000,639000,1664880125671.4648
214,14.193534851074219,1/90000,642000,1664880125727.5322
215,14.159917831420898,1/90000,645000,1664880125782.7747
216,14.56594467163086,1/90000,648000,1664880125846.019
217,14.536619186401367,1/90000,651000,1664880125901.8254
218,13.834476470947266,1/90000,654000,1664880125949.4333
219,14.075756072998047,1/90000,657000,1664880126003.0835
220,14.937639236450195,1/90000,660000,1664880126050.0918
221,14.201879501342773,1/90000,663000,1664880126103.03
222,13.854026794433594,1/90000,666000,1664880126151.8013
223,14.091730117797852,1/90000,669000,1664880126210.0298
224,13.991594314575195,1/90000,672000,1664880126257.7534
225,14.34946060180664,1/90000,675000,1664880126311.5522
226,14.03355598449707,1/90000,678000,1664880126373.36
