seconds,delay,client_ping_ts,server_pong_ts
1664880115,9.071,1664880114.661248,1664880114.681536
1664880116,12.174,1664880115.678676,1664880115.706919
1664880117,17.939,1664880116.681887,1664880116.714692
1664880118,9.320,1664880117.698838,1664880117.723622
1664880119,28.623,1664880118.699335,1664880118.729688
1664880120,47.113,1664880119.703235,1664880119.743552
1664880121,220.903,1664880120.704393,1664880120.881073
1664880122,41.080,1664880121.704731,1664880121.756618
1664880123,140.261,1664880122.708298,1664880122.847103
1664880124,20.545,1664880123.710305,1664880123.739298
1664880125,22.402,1664880124.711481,1664880124.735297
1664880126,30.734,1664880125.711857,1664880125.748078
1664880127,28.406,1664880126.712935,1664880126.743733
1664880128,16.565,1664880127.713854,1664880127.740320
1664880129,15.013,1664880128.714574,1664880128.741691
1664880130,25.002,1664880129.715197,1664880129.753599
1664880131,9.250,1664880130.731326,1664880130.751837
1664880132,44.495,1664880131.731773,1664880131.786211
1664880133,18.421,1664880132.732369,1664880132.763502
1664880134,6.180,1664880133.733447,1664880133.754231
1664880135,4.712,1664880134.734310,1664880134.754804
1664880136,24.777,1664880135.735148,1664880135.774820
1664880137,39.178,1664880136.736244,1664880136.771520
1664880138,40.963,1664880137.736701,1664880137.776414
1664880139,18.576,1664880138.738642,1664880138.769770
1664880140,7.443,1664880139.747000,1664880139.767438
1664880141,14.391,1664880140.753305,1664880140.783422
1664880142,24.188,1664880141.754113,1664880141.783442
1664880143,31.857,1664880142.754556,1664880142.800226
1664880144,8.946,1664880143.755268,1664880143.775517
1664880145,43.032,1664880144.756361,1664880144.801001
1664880146,20.979,1664880145.756753,1664880145.789433
1664880147,12.053,1664880146.757755,1664880146.784461
1664880148,17.793,1664880147.763580,1664880147.791954
1664880149,61.656,1664880148.764848,1664880148.831033
1664880150,369.262,1664880149.775859,1664880149.875766
1664880151,81.529,1664880150.781591,1664880150.863902
1664880152,455.788,1664880151.805140,1664880152.144531
1664880153,368.401,1664880152.806537,1664880153.191122
1664880156,1882.700,1664880153.806945,1664880155.362917
1664880156,1459.515,1664880154.808101,1664880155.363514
