seconds,delay,client_ping_ts,server_pong_ts,client_pang_ts
1664880115,9.050,1664880114.661248,1664880114.681536,1664880114.670481
1664880116,26.009,1664880115.678676,1664880115.706919,1664880115.690955
1664880117,5.640,1664880116.681887,1664880116.714692,1664880116.699949
1664880118,6.573,1664880117.698838,1664880117.723622,1664880117.708246
1664880119,36.341,1664880118.699335,1664880118.729688,1664880118.728035
1664880120,156.806,1664880119.703235,1664880119.743552,1664880119.750473
1664880121,236.429,1664880120.704393,1664880120.881073,1664880120.925360
1664880122,147.964,1664880121.704731,1664880121.756618,1664880121.745927
1664880123,27.897,1664880122.708298,1664880122.847103,1664880122.848675
1664880124,24.284,1664880123.710305,1664880123.739298,1664880123.730936
1664880125,34.073,1664880124.711481,1664880124.735297,1664880124.733998
1664880126,23.360,1664880125.711857,1664880125.748078,1664880125.742643
1664880127,25.889,1664880126.712935,1664880126.743733,1664880126.741399
1664880128,49.718,1664880127.713854,1664880127.740320,1664880127.730496
1664880129,30.973,1664880128.714574,1664880128.741691,1664880128.729669
1664880130,55.262,1664880129.715197,1664880129.753599,1664880129.740253
1664880131,36.103,1664880130.731326,1664880130.751837,1664880130.740632
1664880132,55.916,1664880131.731773,1664880131.786211,1664880131.776353
1664880133,11.184,1664880132.732369,1664880132.763502,1664880132.750906
1664880134,6.375,1664880133.733447,1664880133.754231,1664880133.739737
1664880135,4.769,1664880134.734310,1664880134.754804,1664880134.739095
1664880136,5.504,1664880135.735148,1664880135.774820,1664880135.760014
1664880137,43.375,1664880136.736244,1664880136.771520,1664880136.775505
1664880138,21.967,1664880137.736701,1664880137.776414,1664880137.777710
1664880139,17.631,1664880138.738642,1664880138.769770,1664880138.757297
1664880140,7.831,1664880139.747000,1664880139.767438,1664880139.754526
1664880141,12.863,1664880140.753305,1664880140.783422,1664880140.767774
1664880142,23.601,1664880141.754113,1664880141.783442,1664880141.778383
1664880143,13.133,1664880142.754556,1664880142.800226,1664880142.786461
1664880144,26.455,1664880143.755268,1664880143.775517,1664880143.764297
1664880145,29.287,1664880144.756361,1664880144.801001,1664880144.799441
1664880146,9.036,1664880145.756753,1664880145.789433,1664880145.777779
1664880147,17.597,1664880146.757755,1664880146.784461,1664880146.769919
1664880148,10.322,1664880147.763580,1664880147.791954,1664880147.781460
1664880149,31.590,1664880148.764848,1664880148.831033,1664880148.826592
1664880150,543.067,1664880149.775859,1664880149.875766,1664880150.145203
1664880151,334.179,1664880150.781591,1664880150.863902,1664880150.863197
1664880152,156.834,1664880151.805140,1664880152.144531,1664880152.260968
1664880153,77.833,1664880152.806537,1664880153.191122,1664880153.175010
1664880156,624.277,1664880153.806945,1664880155.362917,1664880155.689745
