frame_no,mtp,psnr
0,220.40700912475586,46.182256063524896
1,225.4822254180908,45.934351375495794
2,230.48901557922366,45.93580031404357
3,224.31468963623047,46.01848793755353
4,222.38564491271973,46.02167669053779
5,218.7182903289795,46.06209520470458
6,213.31334114074707,46.59695170937894
7,201.7731666564941,46.60565477389622
8,190.33074378967285,46.87234023197949
9,186.9218349456787,46.31602528045349
10,172.50537872314453,45.31748616935687
11,161.3931655883789,45.44965253888264
12,173.2809543609619,45.35435412473959
13,176.09238624572754,45.88926528692682
14,175.50110816955564,47.36585794696258
15,167.29283332824707,47.501565167957175
16,164.76821899414062,47.52694120936603
17,166.33296012878418,47.40713126580935
18,164.60537910461426,47.42728358993403
19,176.23114585876465,47.38125514523836
20,206.15172386169436,47.6492623585143
21,214.62345123291016,47.4590653794796
22,223.7560749053955,47.51583862857048
23,238.9745712280273,47.39614236373878
24,250.25701522827148,47.41223913075779
25,258.17131996154785,47.3547941769416
26,269.0682411193848,47.24640049814632
27,271.5859413146973,47.254681021026535
28,269.63210105896,47.15306360867701
29,266.22843742370605,47.1527888210003
30,259.3002319335937,47.075194206992165
33,193.6931610107422,13.303033313591962
34,189.84508514404294,12.601096084713356
35,184.04889106750488,12.223442207498303
36,177.08468437194824,12.287344381255984
37,177.88290977478027,12.558442301104396
38,178.71856689453125,12.590098466807678
39,180.8629035949707,12.282107151861336
40,175.9953498840332,27.569176914787434
41,174.47471618652344,27.07289814874427
42,171.82397842407227,26.90069699762232
43,163.55299949645996,26.64551211589179
44,156.4173698425293,26.65219548126049
45,154.89768981933594,26.738302278211755
46,148.85926246643064,26.71841244814977
47,140.1996612548828,26.78219048256945
48,135.41007041931152,26.668488283574987
49,126.01566314697266,26.70086278576927
50,124.6194839477539,27.157301932498456
51,124.10879135131835,26.860750698156682
52,115.89646339416505,26.726680943339186
53,109.1926097869873,26.571592312774897
54,105.9129238128662,26.623243418610343
55,99.29704666137697,26.664770835360574
56,92.6527976989746,26.59489466290884
57,83.6482048034668,26.608909467850967
58,73.65560531616211,26.566752011523977
59,65.27590751647949,26.466065723737078
60,59.778690338134766,26.94842963843904
61,49.8659610748291,26.61918008608605
62,48.95186424255371,26.41422949343748
63,47.81675338745117,26.296760053004974
64,52.425384521484375,26.073241476656285
65,54.39043045043945,26.057116486890674
66,51.16581916809082,26.084593355320454
67,49.1487979888916,26.033706772624363
68,54.65841293334961,26.085299696943306
69,48.9656925201416,26.0639273584175
70,51.52392387390137,26.67491390274661
71,46.19789123535156,26.257844090163328
72,52.128076553344734,26.25420087565568
73,47.074317932128906,26.168449781083122
74,48.10595512390137,26.18220947484664
75,49.00693893432617,26.35496646994141
76,52.71625518798828,26.542240771041488
77,47.16300964355469,26.713575012699803
78,46.62919044494629,26.869589181698533
79,43.01738739013672,27.13041150184789
80,46.56791687011719,27.865517856159624
81,46.141862869262695,27.875556353978943
82,47.67298698425293,28.03023404021182
83,45.197486877441406,27.989059124818002
84,45.21012306213379,27.81230235647332
85,41.013479232788086,27.83370012447344
86,45.676231384277344,27.859641494941396
87,45.09782791137695,27.89741882581407
88,45.57228088378906,27.958628260623044
89,44.20685768127442,28.232572448109337
90,50.56262016296387,28.859649224804397
91,48.42567443847656,29.080953868643213
92,48.0656623840332,29.32099623659055
93,43.74217987060547,29.54256137013063
94,50.6441593170166,29.22360200398149
95,55.535078048706055,29.150973058855804
96,82.74388313293457,28.817796107503128
97,48.59733581542969,28.476157203630123
98,67.90900230407715,28.265224719900647
99,56.97822570800781,28.12861374114153
100,67.4142837524414,45.86314344244131
101,79.96487617492676,45.98494430284482
102,81.1913013458252,46.616689103986175
103,72.13330268859862,46.70839419236773
104,61.25235557556152,46.715421327108686
105,62.78252601623535,46.81359319206282
106,70.79386711120605,46.873237991008
107,53.533315658569336,46.792988164583214
108,54.42094802856445,46.657561277075864
109,51.72109603881836,46.7220222268087
110,62.021732330322266,47.06680762742959
111,54.500818252563484,46.93041412440167
112,67.0175552368164,46.888340080894935
113,58.51602554321289,47.12907166223719
114,63.86375427246094,47.40540831766169
115,50.82011222839356,47.61669761103276
116,54.81410026550293,47.667330276424295
117,52.7195930480957,47.711353597149156
118,48.552513122558594,47.71784600057088
119,51.94592475891113,47.710439034052285
120,62.319278717041016,47.97839951358144
121,56.364774703979485,47.873967461340676
122,53.518056869506836,47.88708494493658
123,53.00235748291016,48.06473958136095
124,55.339574813842766,48.173628085075066
125,52.059412002563484,48.16409639263704
126,48.48814010620117,48.121606378235846
127,54.7487735748291,47.94682973658792
128,45.81928253173828,47.778314670867616
129,53.85327339172363,47.703754567872636
130,59.9215030670166,46.8297610600424
131,65.22870063781737,46.843757248559605
132,52.43873596191406,46.82977554751318
133,49.67260360717773,46.95393688348703
134,58.45499038696289,46.99335001199722
135,58.27498435974121,47.10043173213949
136,50.6126880645752,47.17611112143118
137,60.778617858886726,47.18474759972405
138,51.72872543334961,47.28829540504039
139,54.35466766357422,47.330931125252675
140,185.333251953125,46.27318274722167
141,150.0108242034912,46.3923314991502
142,290.6036376953125,46.67488622743008
143,256.1132907867432,46.83722384661744
144,221.51732444763186,47.017231124851634
145,186.73157691955566,46.71256478869693
146,152.00042724609375,46.75795182865242
147,307.9142570495605,46.786999402234365
148,273.07748794555664,46.81130555149916
149,238.30604553222656,46.80885485142675
150,201.1079788208008,47.07278646081868
151,166.5048599243164,47.1232014437192
152,315.0303363800049,47.186281827622274
153,280.390739440918,47.048290773715394
154,246.366024017334,47.06379016923046
155,211.9581699371338,47.13208546695015
156,177.39629745483398,46.986932765370064
157,279.65354919433594,46.96040309994111
158,238.7087345123291,46.76253761805459
159,203.78947257995605,47.200789973706954
160,175.20475387573242,47.223599942946294
161,170.62759399414062,47.699892072703705
162,324.643611907959,47.76846809119362
163,289.8719310760498,47.711600809428454
164,254.96315956115723,48.07160030331454
165,220.31569480896,48.17224922427342
166,346.4646339416504,48.02671143820038
167,311.82312965393066,48.18918819965294
168,277.4839401245117,47.85018651743302
169,242.65241622924805,48.0222846656844
170,207.3497772216797,48.00110036860176
171,200.347900390625,48.09386584824627
173,331.1066627502441,16.624680710746972
174,296.2617874145508,16.045248134629965
175,261.14988327026373,14.919935373982444
176,226.2611389160156,14.137817879914286
177,191.4956569671631,13.442180417801044
178,382.8098773956299,13.066049858327858
179,348.60682487487793,12.606122272929912
180,314.1367435455322,29.292286381418236
181,280.2286148071289,28.448536500979248
182,246.0570335388184,28.19920208799372
183,211.9607925415039,28.13139959671414
184,403.1450748443604,28.1209911701118
185,368.9670562744141,28.10314584484136
186,334.8674774169922,27.98228128426301
187,300.5201816558838,27.916876050674272
188,266.1740779876709,27.83829725779289
189,231.1389446258545,27.703661769532317
190,196.25163078308105,28.53520179167857
191,309.3969821929932,27.815114109184666
192,275.5956649780273,27.70547031498371
193,241.92094802856445,27.53981725650188
194,208.23025703430176,27.45582626681431
195,192.2850608825684,27.413511561639794
196,246.35767936706546,27.27842005770407
197,211.90166473388672,27.249037498681894
198,177.45399475097656,27.203714109123478
199,165.16876220703125,27.176210911876378
200,334.5310688018799,27.757758643660626
201,299.9551296234131,27.06779155130301
202,265.5014991760254,27.05553933841433
203,230.7379245758057,27.20544442054437
204,196.1853504180908,27.26471297337305
205,389.5621299743652,27.090322665317448
206,355.010986328125,27.087688676651567
207,320.4987049102783,27.174082607812124
208,285.9938144683838,27.28995023020915
209,251.2829303741455,27.034586609739954
210,215.6209945678711,27.28592122099158
211,274.8281955718994,26.670215720244716
212,240.2927875518799,27.05562588829451
213,225.6331443786621,27.09876976698929
214,398.3614444732666,28.62261662297495
215,363.9266490936279,28.75139691647073
216,329.5309543609619,29.227338770642074
217,295.0246334075928,28.980543478927174
218,260.6332302093506,28.840220982083764
219,226.1650562286377,28.796090945685396
220,190.78850746154785,29.605437231316447
221,383.2108974456787,28.959206347606553
222,348.7436771392822,28.672930684161066
223,314.2561912536621,28.411542900849234
224,279.74867820739746,28.246262992896572
225,245.1598644256592,27.268519787427604
226,210.25490760803225,26.591707714518556
227,400.8364677429199,26.405916034604502
228,366.208553314209,26.375708544248727
229,331.5134048461914,26.32723844024889
230,295.38607597351074,27.13926790685493
231,260.9105110168457,26.69995051906609
232,226.0565757751465,26.835493115423922
233,205.9633731842041,27.075194026320077
234,384.24181938171387,27.014414838398643
235,350.008487701416,26.988649100793328
236,315.64950942993164,26.86947821034369
237,281.2700271606445,26.751475005135887
238,246.8869686126709,26.810968701719407
239,212.5861644744873,26.90258074333912
240,400.2232551574707,27.509477230182753
241,365.9179210662842,27.023750351357254
242,331.62784576416016,26.985876291989943
243,297.2984313964844,26.90370211926218
244,262.96091079711914,27.01430731134586
245,228.0890941619873,26.97221496732123
246,193.42803955078125,27.10286855575499
247,213.97805213928225,27.176279670441232
248,205.87849617004395,27.254527368977108
249,199.57566261291504,27.328774516262023
250,191.7126178741455,27.944361043226493
251,186.81097030639648,27.59653767757369
252,176.0237216949463,27.510813036287807
253,170.66717147827148,27.625772186067465
254,164.96944427490234,27.732395491927146
255,154.9081802368164,27.700804828229767
256,147.4771499633789,27.63808688132319
257,140.64979553222656,27.75620811757806
258,138.37909698486328,27.725423821807947
259,126.79076194763186,27.705865819672827
260,120.08166313171388,27.923350704655718
261,116.49441719055174,27.436364825313486
262,108.86359214782716,27.52296240472466
263,104.86006736755373,27.618536223806768
264,101.73583030700684,27.740065333510408
265,94.2075252532959,27.82171508627625
266,88.5014533996582,27.914411196133557
267,86.0128402709961,27.83374732085032
268,79.48088645935059,28.05174211027307
269,71.57063484191895,27.87189627055168
270,68.39227676391603,28.286987914731718
271,60.442209243774414,27.68464112518065
272,60.81795692443848,27.687126039331666
273,58.10642242431641,28.032790795500578
274,52.52408981323242,28.07296438712601
275,59.8137378692627,28.43157204519721
276,50.13465881347656,28.67686934419697
277,47.1193790435791,29.006540600705122
278,49.97825622558594,28.998438631247893
279,47.395944595336914,28.843607039449676
280,48.834562301635735,29.344025920843624
281,50.48322677612305,29.097890354067488
282,46.0505485534668,29.32697592384559
283,43.717622756958015,29.390544926044964
284,46.19169235229492,29.327271849850195
285,46.76628112792969,29.371511957217702
286,42.48857498168945,29.488546848223205
287,44.26026344299317,29.531393389852838
288,42.817354202270515,29.49401178417259
289,51.38969421386719,29.544088534460176
290,52.63662338256836,29.977343103339358
291,48.766374588012695,29.845828862017843
292,50.4155158996582,30.103086134402695
293,52.23178863525391,30.11974490624247
294,45.93801498413086,30.121340108925448
295,43.72668266296387,30.085709431551678
296,42.29497909545898,29.999652810215515
297,49.22914505004883,29.95682231103428
298,44.84415054321289,30.022805580411905
299,46.399593353271484,30.11126149921045
300,71.85769081115723,47.68904336307863
301,69.83232498168945,47.5467882057121
302,60.74094772338867,48.18625343540436
303,51.97620391845703,48.40280010466815
304,54.73804473876953,48.31108482712103
305,50.02117156982422,48.15576082471366
306,44.101953506469734,48.01916520114765
307,46.73147201538086,47.96322804460225
308,46.52738571166992,47.80973546236173
309,51.477909088134766,47.72126959894993
310,64.32962417602539,47.263842976880376
311,65.33169746398926,47.12203244692922
312,54.95548248291016,47.17359582373106
313,62.05582618713379,47.06026408298837
314,53.401708602905266,47.24258421193068
315,51.96094512939453,47.430229469803315
316,62.72149085998535,47.487378196396726
317,58.35866928100586,47.512177769805355
318,49.10588264465332,47.3968433166595
319,62.67189979553223,47.503292257025365
320,75.1500129699707,47.11133127994501
321,71.53439521789551,47.01413669447803
322,66.28894805908203,47.25232910643035
323,66.62344932556152,47.07413001452099
324,59.82375144958496,47.083173551943375
325,57.11221694946289,47.16327484099958
326,56.44750595092773,47.09072745036992
327,55.1304817199707,46.98779711558689
328,51.57136917114258,47.05823651559422
329,54.081201553344734,47.12296064450085
330,80.54566383361816,47.12708375161146
331,72.23081588745117,46.963640355697116
332,72.2801685333252,47.46308997580864
333,58.644294738769524,47.29676919482651
334,61.766386032104485,47.27651761278439
335,56.55264854431152,47.29254922761846
336,60.4243278503418,47.368053705384796
337,53.33685874938965,47.22254690397853
338,51.509618759155266,47.25134262843895
339,71.74372673034668,47.2631185702724
340,85.6175422668457,47.20182309384914
341,79.18357849121094,47.26108607430739
342,70.97744941711426,47.15475173268641
343,67.4886703491211,47.15132320884091
344,61.349153518676765,47.237675335527726
345,52.752017974853516,47.351105507303885
346,56.23817443847656,47.35468790877113
347,55.94682693481445,47.39576923645949
348,53.7257194519043,47.402356430691796
349,64.61524963378906,47.25606892294947
350,77.42547988891603,47.617744004148655
351,69.46253776550293,47.3501546653765
352,60.30631065368652,47.311715986546965
353,61.97690963745117,47.2954649898842
354,56.91862106323242,47.40261854421637
355,50.81963539123535,47.35328214387288
356,58.2726001739502,47.36295188473096
357,47.69635200500488,47.44641633849679
358,50.189733505249016,47.37640303224058
359,59.97776985168458,47.23094659455613
