seconds,delay,client_ping_ts,server_pong_ts,client_pang_ts
1664925302,5.126,1664925302.011637,1664925301.997466,1664925302.016475
1664925303,22.226,1664925303.012160,1664925303.009224,1664925303.039175
1664925304,7.717,1664925304.013163,1664925304.019918,1664925304.041816
1664925305,5.239,1664925305.013401,1664925305.001774,1664925305.020140
1664925306,40.724,1664925306.013651,1664925306.085786,1664925306.135445
1664925307,230.465,1664925307.034864,1664925307.036147,1664925307.241711
1664925308,231.709,1664925308.045193,1664925308.187083,1664925308.245589
1664925309,214.247,1664925309.054636,1664925309.231534,1664925309.323546
1664925310,18.788,1664925310.056555,1664925310.045975,1664925310.073166
1664925311,19.715,1664925311.057862,1664925311.044072,1664925311.064083
1664925312,7.414,1664925312.058365,1664925312.057138,1664925312.077474
1664925313,3.719,1664925313.058538,1664925313.064134,1664925313.082052
1664925314,25.901,1664925314.059241,1664925314.047709,1664925314.066629
1664925315,8.883,1664925315.059461,1664925315.058872,1664925315.081509
1664925316,4.315,1664925316.060124,1664925316.065761,1664925316.084098
1664925317,4.086,1664925317.060429,1664925317.064970,1664925317.083088
1664925318,34.149,1664925318.073900,1664925318.085214,1664925318.106466
1664925319,9.265,1664925319.074147,1664925319.079768,1664925319.098984
1664925320,17.081,1664925320.074361,1664925320.061455,1664925320.085287
1664925321,193.319,1664925321.075073,1664925321.119937,1664925321.273934
1664925322,233.628,1664925322.075417,1664925322.191813,1664925322.246953
1664925323,49.253,1664925323.076278,1664925323.144942,1664925323.176223
1664925324,45.479,1664925324.076777,1664925324.221301,1664925324.248862
1664925325,4.325,1664925325.077557,1664925325.064044,1664925325.082325
1664925326,5.089,1664925326.078354,1664925326.065540,1664925326.084284
1664925327,24.260,1664925327.079264,1664925327.065294,1664925327.086066
1664925328,5.678,1664925328.079859,1664925328.084406,1664925328.103350
1664925329,21.185,1664925329.080594,1664925329.067169,1664925329.085310
1664925330,4.845,1664925330.080836,1664925330.079519,1664925330.097591
1664925331,7.163,1664925331.081373,1664925331.067884,1664925331.088726
1664925332,10.402,1664925332.081856,1664925332.078538,1664925332.097630
1664925333,11.592,1664925333.084572,1664925333.072386,1664925333.090497
1664925334,4.234,1664925334.085056,1664925334.071397,1664925334.089429
1664925335,6.443,1664925335.093856,1664925335.086020,1664925335.105686
1664925336,12.163,1664925336.094852,1664925336.109102,1664925336.134334
1664925337,213.582,1664925337.095424,1664925337.243278,1664925337.288040
1664925338,193.492,1664925338.095686,1664925338.220896,1664925338.272586
1664925339,96.562,1664925339.096597,1664925339.251331,1664925339.314959
1664925340,7.545,1664925340.103314,1664925340.091980,1664925340.110439
1664925341,4.148,1664925341.104136,1664925341.090171,1664925341.108395
1664925342,24.370,1664925342.105257,1664925342.094653,1664925342.119887
1664925343,4.718,1664925343.121371,1664925343.107451,1664925343.125554
1664925344,5.471,1664925344.121794,1664925344.114790,1664925344.133555
1664925345,4.812,1664925345.128627,1664925345.119473,1664925345.137526
1664925346,4.162,1664925346.130069,1664925346.137650,1664925346.155534
1664925347,12.147,1664925347.131202,1664925347.126064,1664925347.151881
1664925348,14.148,1664925348.131549,1664925348.126257,1664925348.154399
1664925349,5.232,1664925349.132571,1664925349.123056,1664925349.141560
1664925350,4.826,1664925350.143698,1664925350.130415,1664925350.148817
1664925351,46.676,1664925351.145670,1664925351.282630,1664925351.302457
1664925352,205.466,1664925352.146862,1664925352.214947,1664925352.269528
1664925353,25.065,1664925353.147268,1664925353.147227,1664925353.185644
1664925354,125.139,1664925354.147497,1664925354.198714,1664925354.265353
1664925355,26.757,1664925355.147817,1664925355.134537,1664925355.153232
1664925356,4.812,1664925356.148403,1664925356.136654,1664925356.154415
1664925357,25.362,1664925357.148796,1664925357.138427,1664925357.162891
1664925358,9.256,1664925358.149532,1664925358.155124,1664925358.177974
1664925359,25.126,1664925359.151190,1664925359.144840,1664925359.180574
1664925360,6.268,1664925360.165135,1664925360.152151,1664925360.171592
1664925361,4.560,1664925361.165802,1664925361.152938,1664925361.170320
1664925362,4.396,1664925362.166471,1664925362.153822,1664925362.171448
1664925363,5.720,1664925363.169056,1664925363.155757,1664925363.174130
1664925364,4.001,1664925364.169781,1664925364.156698,1664925364.173943
1664925365,7.089,1664925365.170201,1664925365.171400,1664925365.191572
1664925366,25.792,1664925366.171051,1664925366.279274,1664925366.317111
1664925367,22.267,1664925367.172179,1664925367.249478,1664925367.283659
1664925368,232.352,1664925368.173215,1664925368.184473,1664925368.251852
1664925369,237.136,1664925369.173786,1664925369.239871,1664925369.307702
1664925370,5.706,1664925370.187096,1664925370.174909,1664925370.193269
1664925371,3.841,1664925371.189143,1664925371.177882,1664925371.194749
1664925372,12.489,1664925372.190119,1664925372.190184,1664925372.214921
1664925373,8.493,1664925373.190631,1664925373.188130,1664925373.208896
1664925374,24.681,1664925374.191404,1664925374.179053,1664925374.195950
1664925375,7.170,1664925375.192472,1664925375.194589,1664925375.214399
1664925376,3.829,1664925376.193738,1664925376.193938,1664925376.210586
1664925377,4.750,1664925377.194522,1664925377.182010,1664925377.198762
1664925378,4.941,1664925378.195670,1664925378.183002,1664925378.200715
1664925379,4.066,1664925379.196065,1664925379.183854,1664925379.200479
1664925381,621.315,1664925380.197198,1664925380.259087,1664925380.559677
1664925382,557.142,1664925381.197448,1664925381.284632,1664925381.544560
1664925383,248.917,1664925382.198529,1664925382.437539,1664925382.620044
1664925384,569.676,1664925383.204517,1664925383.385015,1664925383.617699
1664925385,315.288,1664925384.204802,1664925384.417053,1664925384.575626
1664925386,497.763,1664925385.207006,1664925385.450337,1664925385.743668
1664925387,498.986,1664925386.207893,1664925386.420627,1664925386.720389
1664925388,556.771,1664925387.208136,1664925387.403709,1664925387.761402
1664925389,485.801,1664925388.209409,1664925388.441648,1664925388.742627
1664925390,478.112,1664925389.210593,1664925389.439776,1664925389.718947
1664925390,63.162,1664925390.211569,1664925390.413937,1664925390.475024
1664925392,403.864,1664925391.212348,1664925391.665570,1664925391.869806
1664925393,551.446,1664925392.212936,1664925392.549314,1664925392.901625
1664925394,494.430,1664925393.213445,1664925393.585245,1664925393.883002
1664925395,469.275,1664925394.214738,1664925394.576385,1664925394.859270
1664925396,7.094,1664925395.216482,1664925395.563822,1664925395.582233
1664925396,187.815,1664925396.216947,1664925396.271429,1664925396.305304
1664925397,232.299,1664925397.217415,1664925397.232398,1664925397.312940
1664925398,6.180,1664925398.217772,1664925398.211013,1664925398.228299
1664925399,9.964,1664925399.219220,1664925399.224009,1664925399.240432
